# Sentence assignments for the non-MF manuscript.
#
# key<TAB>status<TAB>decls<TAB>note.  The key is the first twelve hex digits of
# the sha256 of the normalized sentence, printed by scripts/sentence_census.py.
# Edit this file, never metadata/NON_MF_SENTENCE_CENSUS.tsv, which is its join
# with the extraction.  A sentence whose wording changes loses its key and
# reappears as unassigned; that is the intended behaviour, because a reworded
# sentence is a sentence whose assignment has to be re-checked.
#
# Sentences carrying a printed \leanverified or \leanstep badge, and sentences
# sitting under an anchor with exactly one proof-ledger row, are assigned by
# the script and are deliberately absent here.  Every sentence at a multi-row
# anchor is listed explicitly below; the checker accepts neither similarity
# guesses nor a whole-anchor fallback.

# Explicit sentence-to-row assignments at multi-row anchors.  Unlike the
# forced single-row inheritance, each relation below was checked against the
# printed sentence and the claim text of the named proof-ledger row.

# Assignments rechecked after the 2026-08-20 prose and structure revision.

# Assignments for the 2026-08-22 sentence-level writing pass; each row was
# checked against the printed sentence and the named ledger rows or declarations.

# Assignments for the 2026-08-22 attribution and exact-residual theorem pass.
bd55ae192b74	attribution	-	credits Korchagin's local microstate criterion for finitely presented groups
47d7b61bb0d4	structural	-	introduces the companion finite obstruction for the non-MF presentation

# Assignments for the 2026-08-22 reader-visible wave: verified citations,
# the Theorem D restructure, and the transport-conjugator rename.
002878047076	ledger	KC.21	the universal torsion-free Kazhdan host literature input; explicitly MISSING
0044e5677b1a	ledger	RA.06 RA.07	faithful quotient representation proves the kernel and MF clauses
00499840a5a1	ledger	BN.05	the eight parity classes in a block
008a7c7d470d	ledger	ID.04 ID.08	the subgroup closure yielding the general transport conclusion
009ae887b86d	ledger	BN.01 BN.03	the edge commutator relation under the reverse map
009dda6ec73e	ledger	ER.01	dependence only on translation parity
00b431b29e6a	ledger	CO.19	the fixer subgroup makes the join nonzero
00ffb94a6371	ledger	CO.19	finite symmetric generators for the projection orbit
012026bbfd58	ledger	NK.04 NK.15	invisibility descends to the image while the Kazhdan subgroup stays normal and nontrivial
015cb9eff50f	formalized	GroupApproximation.IsOperatorMF.subgroup GroupApproximation.LiteralNonMFEndpoint.manuscriptTheoremA	MF is a Markov property: the trivial group is MF and E embeds in no MF group
01709dae2eac	ledger	ER.03	the symmetric-double vertex group
01e6b63e2284	ledger	CY.10	the flip/sign/dilation matrices used in the explicit models
0263d0e7f126	ledger	RA.05	the distinguished word belongs to the source residual
0281f78071d1	ledger	CO.19	cubic identity and squared-difference projections
02e0194a0f49	formalized	GroupApproximation.ProjectionCompressionCollapse.corona_projection_collapse	the corner here is an arbitrary projection with commuting orbit
03084956318a	ledger	NK.07	asymptotic invariance of the relabelled corners
0349eec1e531	ledger	TF.02 TF.03	parameters and quotient supplied by the second Hull application
0354983bc66a	definition	GroupApproximation.manuscriptMFTraceGroupBridge	what the definition does not require of the approximating maps
03a7d443d037	ledger	CO.14c	the projection-rank specialization of the weighted transport normalization
04256b53815c	ledger	TF.01	re-reviewed after the manuscript revision
054ebe55677a	ledger	ER.03	subgroup permanence gives MF of E/D
06739a13bfdd	ledger	BN.01 BN.03	involutivity and central order-two sign under the reverse map
06a3cc272cf8	ledger	RE.09	faithfulness of the amplified trace
071afc7f934b	ledger	TF.05	re-reviewed after the manuscript revision
072e5937267e	ledger	NK.05	the induced unitary representation
07404f73d0ed	formalized	GroupApproximation.PrintedCornerCompression.manuscriptCornerAsymptoticRepresentation GroupApproximation.ManuscriptExactWrappers.manuscriptFiniteNormalObstructionCriterion_anyUniverse	the finite-normal case of the corner, with the central involution as its instance
07fcd3ff1079	ledger	MC.07	Kazhdan-projection domination
0884f6f39f0a	ledger	FN.13	universal two-norm triviality inside the corner model
08a08133a6a2	ledger	PM.04	the resulting exact finite-dimensional representation
08f322422345	attribution	-	compares the MF residual with Slofstra's kernels and the metric-ultraproduct framework
