# GENERATED by scripts/sk_sentence_census.py --merge -- do not edit.
# Rows whose sentence does not survive at commit 696c4b602e3aa3d65f6824de51a1bb16a820c5bf.  They are not applied.
# Re-key each row by the current hash after checking the carrier against the new text;
# `hint` is the most similar current sentence (similarity >= 0.60), never applied.
where	lane	old_key	old_commit	old_lines	status	decls	note	old_sentence	hint	similarity
rows/ct-involution.tsv:1	ct-involution	c6bd4bf41f69	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	101-101	definition	GroupApproximation.SimpleKazhdanSofic.eU	ct-involution: e_U := ClopenCrossedProduct.coeff T k (LocallyConstant.charFn k hU), LANDED 2f481625d (RingPartitions), wire-queued; verbatim at e80dcf20a	Write $e_U$ for the indicator of a clopen set $U\subseteq X$.	789a7c930456	0.98
rows/ct-involution.tsv:2	ct-involution	d31438fef85b	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	101-102	definition	GroupApproximation.SimpleKazhdanSofic.subshiftHomeo	ct-involution: (Tx)_t = x_{t+1} is subshiftHomeo S, the map shift 1 on S.carrier (Setting, ms-intro-3, on origin); verbatim at e80dcf20a	Our conventions are $(Tx)_t=x_{t+1}$ and		
rows/ct-involution.tsv:3	ct-involution	9a58ee4cb6c1	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	103-106	definition	GroupApproximation.SimpleKazhdanSofic.R GroupApproximation.ClopenCrossedProduct.unit_mul_coeff_mul_inv GroupApproximation.ClopenCrossedProduct.exists_sum_coeff_mul_unit_zpow	ct-involution: R S = ClopenCrossedProduct (subshiftHomeo S) (ZMod 2), a skew monoid algebra with finite Laurent sums; u f u^-1 = f o T^-1 is unit_mul_coeff_mul_inv (chain-core, on origin); verbatim at e80dcf20a	[display] R=\LC(X,\F_2)\rtimes_T\Z=\bigoplus_{j\in\Z}\LC(X,\F_2)\,u^j, \qquad ufu^{-1}=f\circ T^{-1}.		
rows/ct-involution.tsv:4	ct-involution	6fdf439f1009	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	107-109	formalized	GroupApproximation.ClopenCrossedProduct.exists_sum_coeff_mul_unit_zpow GroupApproximation.SimpleKazhdanSofic.eq_of_sum_coeff_mul_unit_zpow_eq GroupApproximation.SimpleKazhdanSofic.coeff_mul_unit_zpow_mul_coeff_mul_unit_zpow GroupApproximation.SimpleKazhdanSofic.unit_mul_eU_mul_inv	ct-involution: every element is a finite sum (chain-core), uniquely by coefficient extraction, (fu^i)(f'u^j) = f (f' o T^-i) u^(i+j), all LANDED 374408a7c (RingLaurent); u e_U u^-1 = e_TU LANDED 2f481625d (RingPartitions); wire-queued; for every homeomorphism T and ring k; verbatim at e80dcf20a	So every element of $R$ is uniquely a finite sum $\sum_jf_ju^j$, the product is $(fu^i)(f'u^j)=f\,(f'\circ T^{-i})\,u^{i+j}$, and $ue_Uu^{-1}=e_{TU}$.		
rows/ct-involution.tsv:5	ct-involution	16a4a7086323	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	111-113	formalized	GroupApproximation.SimpleKazhdanSofic.printedRingGeneration GroupApproximation.SimpleKazhdanSofic.comap_letterIndicator GroupApproximation.SimpleKazhdanSofic.mem_closure_coeff GroupApproximation.SimpleKazhdanSofic.printedSubshiftRingFinitelyGenerated	ct-involution: along the printed route (translates u^j e_a u^-j are coordinate indicators, a locally constant function is a 0/1 sum of cylinder products over a finite window); every subshift over a finite alphabet; closed endpoints LANDED 22b15ce5e (RingGeneration), wire-queued; verbatim at e80dcf20a	The ring $R$ is generated by $u^{\pm1}$ and the letter indicators $e_a=e_{\{x:x_0=a\}}$, since products of the translates $u^je_au^{-j}$ are the cylinder indicators, which span $\LC(X,\F_2)$.		
rows/ms-compress-4.tsv:1	ms-compress-4	d96b6930fe6d	e80dcf20ad478c41b0613820a299c2a76eb81624	103-108	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedElementaryIdentities GroupApproximation.SimpleKazhdanSofic.printedElementaryIdentities GroupApproximation.elementaryUnit_mul GroupApproximation.elementaryUnit_commutator	ms-compress-4: display eq:elementary, "e_ij(r+s)=e_ij(r)e_ij(s), i!=j; [e_ik(r),e_kj(s)]=e_ij(rs), i,j,k distinct"; display text verified identical at origin tip e80dcf20a (tex 103-108); both identities over every unital ring at the printed index names; LANDED daef03299, probe 0913-194134-17952 GREEN, #audit_closed_axioms	[display] \begin{aligned} e_{ij}(r+s)&=e_{ij}(r)e_{ij}(s),\qquad i\ne j,\\ [e_{ik}(r),e_{kj}(s)]&=e_{ij}(rs),\qquad i,j,k\text{ distinct}. \end{aligned}	0e584234f12d	0.68
rows/ms-compress-4.tsv:2	ms-compress-4	64da45d532f8	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	127-128	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedElementaryInfinite GroupApproximation.SimpleKazhdanSofic.printedElementaryInfinite GroupApproximation.SimpleKazhdanSofic.infinite_locallyConstant_zmodTwo GroupApproximation.SimpleKazhdanSofic.infinite_elementaryGroup_fin_three_of_injective	ms-compress-4: "It is infinite because e_12(LC(X,F_2)) is infinite", text verified identical at origin tip e80dcf20a (tex 113-114); for every infinite totally separated X and homeomorphism T (every infinite subshift with its shift, e.g. X = S.carrier, T = subshiftHomeo S), EL_3(ClopenCrossedProduct T (ZMod 2)) is infinite along the printed route (LC(X,F_2) infinite; a -> e_12(coeff a) injective); LANDED daef03299, probe 0913-194134-17952 GREEN, #audit_closed_axioms	It is infinite because $e_{12}(\LC(X,\F_2))$ is infinite.	becd7a8e2072	0.72
rows/ms-core-3.tsv:1	ms-core-3	13bf024677ad	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	171-173	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedBlockElementarySpecialLinear GroupApproximation.SimpleKazhdanSofic.printedBlockElementarySpecialLinear GroupApproximation.SimpleKazhdanSofic.elementaryBlockGroup_map_eq_ker_detUnits GroupApproximation.AlgebraicK.ker_detUnits GroupApproximation.elementaryBlockGroup_map	ms-core-3: tex 171-173 at 9047d0d3c, "The equality holds since transvections generate $\SL_{3N_\ell}(\F_2)$, and those inside one block are commutators of those between blocks." Along the printed route, at the generality of thm:main (every n >= 3, N >= 1): AlgebraicK.ker_detUnits (ker det = EL over a field, so transvections generate SL) and elementaryBlockGroup_map, whose in-block root (i,k)->(i,l) is the commutator of the cross-block roots (i,k)->(j,k) and (j,k)->(i,l). Closed endpoint printedBlockElementarySpecialLinear (#audit_closed_axioms). Module Manuscript/SimpleKazhdanSofic/MarkedLimitSpecialLinear, landed 37646c582, queued for wiring.	The equality holds since transvections generate $\SL_{3N_\ell}(\F_2)$, and those inside one block are commutators of those between blocks.	e4fd510a51c5	0.76
rows/ms-core-3.tsv:2	ms-core-3	414df07890f1	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	168-171	partial	GroupApproximation.SimpleKazhdanSofic.PrintedBlockElementarySpecialLinear GroupApproximation.SimpleKazhdanSofic.printedBlockElementarySpecialLinear	ms-core-3: tex 168-171 at 9047d0d3c, "So $G$ and $\EL_3(M_{N_\ell}(\F_2))=\SL_{3N_\ell}(\F_2)$ are quotients of $\EL_3(F)$, which is generated by the matrices $e_{ij}(1)$ and $e_{ij}(\tau)$ with $\tau\in\{\tau_\pm,\tau_a\}$." The displayed equality is proved for every n >= 3 (printedBlockElementarySpecialLinear, closed). Partial: the quotient maps pi, rho_ell and the generation of EL_n(F) by e_ij(1), e_ij(tau) are not carried yet (claimed by ms-core-3, Manuscript/SimpleKazhdanSofic/MarkedConvergence).	So $G$ and $\EL_3(M_{N_\ell}(\F_2))=\SL_{3N_\ell}(\F_2)$ are quotients of $\EL_3(F)$, which is generated by the matrices $e_{ij}(1)$ and $e_{ij}(\tau)$ with $\tau\in\{\tau_\pm,\tau_a\}$.		
rows/ms-intro-3.tsv:3	ms-intro-3	b1eef5e651ae	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	49-50	attribution		ms-intro-3 @9047d0d3c: Ozawa 2003 hyperlinear form [p. 527] and Pestov Open question 9.1 sofic form; quoted verbatim in Palomar/Pestov91Challenge.lean.	Ozawa stated the hyperlinear form in 2003~\cite[p.~527]{Ozawa}, and Pestov's Open question~9.1 adds the sofic form~\cite{Pestov}.	7f3b239e5f2a	0.74
